,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Cleveland Cavaliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Jordan,Clarkson,SG,27,193.04,194,5,41,1.4,3.1,0.893,5.8,0.482,5.3,0.346,0.7,25,1.6,24.5,2.5,80,22.59259259,0.5,0.3,67.5,,,,
players,Tyler,Cook,PF,22,203.2,255,5,53,0.2,0.3,1,1,0.833,0,0.25,0.5,0,0.3,9.5,0,80,21.59090909,0.2,0,8.4,R,,,
players,Matthew,Dellavedova,PG,29,190.5,200,5,41,0.7,0.6,0.929,1.3,0.517,1.7,0.105,0.3,0,1,5,2.2,80,8.879310345,0.4,0,39.6,,,,
players,Darius,Garland,PG,20,185.42,192,5,35,2.5,1.1,0.852,6.3,0.388,4.5,0.367,0.3,0,1.5,24.5,2.8,80,3.75,0.7,0,83.7,R,,,
players,John,Henson,PF,29,205.74,219,5,68,0.8,1.5,0.333,3.3,0.7,0.8,0,1,25,1.5,9.5,1.3,80,18.87931034,0.7,1,36,,,,
players,Brandon,Knight,PG,28,187.96,182,5,44,0.8,0.8,0.333,1.1,0.444,3.9,0.323,0.1,0,0.9,5,1.9,80,16.96428571,0.5,0,35.7,,,,
players,Kevin,Love,PF,31,203.2,251,5,59,2.8,4.4,0.864,5.7,0.522,5.7,0.354,1.1,30,9.5,17,2.6,80,22.82258065,0.7,0.4,90.9,PT,,,
players,Alfonzo,McKinnie,SF,27,200.66,215,5,50,0.5,0.6,0.636,1.5,0.36,1.5,0.32,0.6,0,1.5,9.5,0.2,80,12.59259259,0.4,0.2,30.9,,,,
players,Larry,Nance Jr.,C,27,200.66,245,5,56,1,1.6,0.714,4.1,0.6,3.1,0.377,1.9,35,5.4,12.5,1.5,80,30.09259259,0.9,0.5,76.5,SP,,,
players,Cedi,Osman,SF,24,200.66,230,5,47,1.3,1.3,0.656,3.7,0.483,4.3,0.353,0.4,25,3,26,2.3,80,22.29166667,1.1,0.3,86.4,,,,
players,Kevin,Porter Jr.,SF,19,193.04,203,5,53,1.6,1.3,0.733,4.3,0.495,2.6,0.322,0.3,0,2.8,26,2,80,22.5,1,0.2,63.9,R,,,
players,Collin,Sexton,SG,21,185.42,190,5,38,1.8,3.5,0.812,12,0.471,3.4,0.309,1,0,2,56,2.4,80,12.61904762,0.9,0,90.9,,,,
players,Tristan,Thompson,C,28,205.74,254,5,56,1.7,3.3,0.566,10.9,0.522,0.3,0.429,4,35,5.9,17,2.3,80,34.46428571,0.9,1.1,93.9,,,,
players,Dean,Wade,PF,23,205.74,228,5,53,0,0,0.6,0.3,0,0.3,1,0,0,0.7,5,0,80,20.65217391,0.3,0,18,R,,,
players,Ante,Zizic,C,23,208.28,266,5,50,0.1,0.8,0.833,3.3,0.5,0,0,0.9,0,1.8,9.5,0,80,18.15217391,0.3,0.3,31.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
